title,director
"我是路人甲","尔冬升"
"铁拳","安东尼·福奎阿"
"我们梦中见","布雷特·海利"
"少年透明人","加布里埃尔·萨瓦特瑞斯"
"撒迦利亚","克雷格·卓贝"
"非我","塔西姆·辛"
"唇上之歌","三木孝浩"
"如晴天，似雨天","弗兰克·威利"
"故事的故事","马提欧·加洛尼"
"奸臣","闵奎东"
"头脑特工队","彼特·道格特 "
"头脑特工队"," 罗纳尔多·德尔·卡门"
"小森林 冬春篇","森淳一"
"小男孩","阿加多·蒙特沃德"
"可爱的你","关信辉"
"花与爱丽丝杀人事件","岩井俊二"
"百元之恋","武正晴"
"少年班","肖洋"
"末日崩塌","布拉德·佩顿"
"深夜食堂 电影版","松冈锭司"
"冲出康普顿","F·加里·格雷"
"魔力麦克2","格里高利·雅各布"
"谜城","林岭东"
"模仿游戏","莫滕·泰杜姆"
"小羊肖恩","马克·伯顿 "
"小羊肖恩"," 理查德·斯塔扎克"
"进击的巨人真人版：前篇","樋口真嗣"
"女间谍","保罗·费格"
"爆裂鼓手","达米安·沙泽勒"
"杀破狼2","郑保瑞"
"道士下山","陈凯歌"
"我是谁：没有绝对安全的系统","Baran bo Odar"
"贝利叶一家","艾里克·拉缇戈"
"疯狂的麦克斯4：狂暴之路","乔治·米勒"
"时光尽头的恋人","李·杜兰·克里格"
"坏姐姐之拆婚联盟","金泰均"
"嘘！禁止想象！","卢镇秀"
"机械姬","亚历克斯·加兰"
"栀子花开","何炅"
"复仇者联盟2：奥创纪元","乔斯·韦登"
"工作女郎","郑凡植"
"少女哪吒","李霄峰"
"我的个神啊","拉吉库马尔·希拉尼"
"左耳","苏有朋"
"对风说爱你","王童"
"小时代4：灵魂尽头","郭敬明"
"消失的爱人","大卫·芬奇"
"暗黑之地","吉勒·巴盖特-布赫内"
"麦克法兰","妮琪·卡罗"
"风流艳妇","谢雷·福克森"
"念念","张艾嘉"
"速度与激情7","温子仁"
"王牌特工：特工学院","马修·沃恩"
"泰迪熊2","塞思·麦克法兰"
"远离尘嚣","托马斯·温特伯格"
"新步步惊心","宋迪"
"国际市场","尹齐均"
"重返20岁","陈正道"
"分歧者2：绝地反击","罗伯特·斯文克"
"最长的旅程","小乔治·提尔曼"
"阿罗哈","卡梅伦·克罗"
"暴疯语","李光耀"
"美国狙击手","克林特·伊斯特伍德"
"味园Universe","山下敦弘"
"寄生兽","山崎贵"
"中国之旅","Zoltán Mayer"
"疯狂外星人","蒂姆·约翰逊"
"控制游戏","Fouad Mikati"
"超能查派","尼尔·布洛姆坎普"
"所罗门的伪证前篇：事件","成岛出"
"星际穿越","克里斯托弗·诺兰"
"天将雄师","李仁港"
"冲锋车","刘浩良"
"霍比特人3：五军之战","彼得·杰克逊"
"金衣女人","西蒙·柯蒂斯"
"无人引航","威廉姆·H·梅西"
"侏罗纪世界","科林·特雷沃罗"
"帕丁顿熊","保罗·金"
"超能陆战队","唐·霍尔 "
"超能陆战队"," 克里斯·威廉姆斯"
"赤道","梁乐民 "
"赤道"," 陆剑青"
"有一个地方只有我们知道","徐静蕾"
"男人与鸡","安诺斯·托马斯·延森"
"博物馆奇妙夜3","肖恩·利维"
"44号孩子","丹尼尔·伊斯皮诺萨"
"万物生长","李玉"
"0.5毫米","安藤桃子"
"鸭王","区焯文"
"战狼","吴京"
"爱你，罗茜","克利斯汀·迪特"
"江南1970","庾河"
"第七子：降魔之战","谢尔盖·波德罗夫"
"军犬麦克斯","鲍兹·亚金"
"一步之遥","姜文"
"生活残骸","贾德·阿帕图"
"海月姬","川村泰祐"
"雏妓","邱礼涛"
"灰姑娘","肯尼思·布拉纳"
"横冲直撞好莱坞","蒂姆·肯德尔"
"涉足荒野","让-马克·瓦雷"
"所罗门的伪证后篇：审判","成岛出"
"命中注定","张皓"
"何以笙箫默","杨文军 "
"何以笙箫默"," 黄斌"
"许三观","河正宇"
"午夜邂逅","克里斯·埃文斯"
"贵族大盗","大卫·凯普"
"智取威虎山","徐克"
"木星上行","安迪·沃卓斯基 "
"木星上行"," 拉娜·沃卓斯基"
"我是女王","伊能静"
"爱的那点性事","约什·劳森"
"西部慢调","约翰·麦卡伦"
"暴走神探","罗卓瑶"
"客人","Kim Kwang-tae"
"完美音调2","伊丽莎白·班克斯"
"饥饿游戏3：嘲笑鸟(上)","弗朗西斯·劳伦斯"
"二十","李炳宪"
"失孤","彭三源"
"坚不可摧","安吉丽娜·朱莉"
"测试","亚历山大·科特"
"七日地狱","Jake Szymanski"
"明星伙伴","道格·艾林"
"钟馗伏魔：雪妖魔灵","鲍德熹 "
"钟馗伏魔：雪妖魔灵"," 赵天宇"
"太平轮(上)","吴宇森"
"少数意见","金成宰"
"爱情限时恋未尽","维克多·列文"
"十万个冷笑话","卢恒宇 "
"十万个冷笑话"," 李姝洁"
"海绵宝宝历险记：海绵出水","Paul Tibbitt"
"狂怒","大卫·阿耶"
"长寿商会","姜帝圭"
"飓风营救3","奥利维尔·米加顿"
"要听神明的话","三池崇史"
"缄默的迷宫","Giulio Ricciarelli"
"通灵之六世古宅","彭发"
"北京纽约","李晓雨"
"我们假期做了什么","安迪·汉密尔顿 "
"我们假期做了什么"," 盖·简金"
"伸冤人","安东尼·福奎阿"
"焦点","格伦·费卡拉 "
"焦点"," 约翰·里夸"
"新女友","弗朗索瓦·欧容"
"鬼牌游戏","入江悠"
"大眼睛","蒂姆·波顿"
"小混乱","艾伦·瑞克曼"
"麦兜我和我妈妈","谢立文 "
"麦兜我和我妈妈"," 李俊民"
"珍妮的婚礼","Mary Agnes Donoghue"
"咱们结婚吧","刘江"
"冲上云霄","叶伟信 "
"冲上云霄"," 邹凯光"
"匆匆那年","张一白"
"塞尔玛","艾娃·德约列"
"法老与众神","雷德利·斯科特"
"魔法黑森林","罗伯·马歇尔"
"1944","Elmo Nüganen"
"烈性摔跤","金豪俊"
"再见我们的十年","孙浩"
"法国战恋曲","索尔·迪勃"
"微爱之渐入佳境","顾长卫"
"真幌站前狂想曲","大森立嗣"
"青春之旅 真人版","三木孝浩"
"潜伏3","雷·沃纳尔"
"布拉芙夫人","任弼星"
"花宵道中","丰岛圭介"
"移动迷宫","韦斯·鲍尔"
"暗夜逐仇","佐米·希尔拉"
"生命之书","Jorge R. Gutierrez"
"近距离恋爱","熊泽尚人"
"真实故事","鲁伯特·古尔德"
"纸之月","吉田大八"
"性本恶","保罗·托马斯·安德森"
"有种你爱我","李欣蔓"
"浪客剑心：传说的完结篇","大友启史"
"玩命警车","乔恩·沃茨"
"丹尼·科林斯","丹·福格尔曼"
"涉外大饭店2","约翰·麦登"
"高手们","金洪宣"
"不死鸟","克利斯蒂安·佩措尔德"
"马达加斯加的企鹅","埃里克·达尼尔 "
"马达加斯加的企鹅"," 西蒙·J·史密斯"
"乐高DC超级英雄：正义联盟之末日军团的进攻","Rick Morales"
"鞋匠人生","托马斯·麦卡锡"
"人体蜈蚣3","汤姆·希克斯"
"朝我心脏开枪","文在容"
"12金鸭","邹凯光"
"哥本哈根","Mark Raso"
"年鉴计划","Dean Israelite"
"女孩闺房","乔恩·克劳兹 "
"女孩闺房"," Trevor Matthews"
"寄生兽：完结篇","山崎贵"
"撒娇女人最好命","彭浩翔"
"娚的一生","广木隆一"
"疾速追杀","大卫·里奇 "
"疾速追杀"," 查德·史塔赫斯基"
"阁楼","艾瑞克·范·洛依"
"正义联盟：神魔之战","Sam Liu"
"白幽灵传奇之绝命逃亡","尼克·鲍威尔"
